year,cell_id,lon_center,lat_center,burned_km2,cell_area_km2,burned_fraction
2018,0,25.5,-24.5,11.56,11226.69,0.001029
2018,1,25.5,-23.5,422.55,11311.91,0.037355
2018,2,25.5,-22.5,81.98,11394.51,0.007195
2018,3,25.5,-21.5,7.17,11472.88,0.000625
2018,4,25.5,-20.5,340.29,11548.4,0.029466
2018,5,25.5,-19.5,23.5,11620.25,0.002023
2018,6,25.5,-18.5,4219.65,11688.61,0.361005
2018,7,25.5,-17.5,2508.86,11753.47,0.213457
2018,8,25.5,-16.5,4576.75,11814.81,0.387374
2018,9,25.5,-15.5,6445.54,11872.62,0.542891
2018,10,25.5,-14.5,6728.05,11926.67,0.564118
2018,11,25.5,-13.5,3677.07,11977.79,0.306991
2018,12,25.5,-12.5,3275.52,12024.71,0.272399
2018,13,25.5,-11.5,3542.27,12068.26,0.293519
2018,14,25.5,-10.5,4270.59,12108.21,0.352702
2018,15,25.5,-9.5,4099.6,12144.35,0.337572
2018,16,25.5,-8.5,6129.93,12177.52,0.503381
2018,17,25.5,-7.5,5983.4,12206.21,0.490193
2018,18,25.5,-6.5,5581.11,12231.92,0.456275
2018,19,25.5,-5.5,6043.69,12254.0,0.493201
2018,20,26.5,-24.5,110.67,11226.49,0.009858
2018,21,26.5,-23.5,35.41,11311.71,0.00313
2018,22,26.5,-22.5,176.88,11394.31,0.015524
2018,23,26.5,-21.5,291.46,11472.68,0.025404
2018,24,26.5,-20.5,292.68,11547.4,0.025346
2018,25,26.5,-19.5,374.21,11620.05,0.032204
2018,26,26.5,-18.5,209.98,11688.41,0.017964
2018,27,26.5,-17.5,1038.87,11753.27,0.08839
2018,28,26.5,-16.5,970.33,11814.61,0.08213
2018,29,26.5,-15.5,2525.65,11871.57,0.212748
2018,30,26.5,-14.5,6122.74,11926.46,0.513375
2018,31,26.5,-13.5,3307.74,11977.59,0.276161
2018,32,26.5,-12.5,2011.66,12024.5,0.167297
2018,33,26.5,-11.5,3712.94,12068.05,0.307667
2018,34,26.5,-10.5,5010.1,12108.0,0.413785
2018,35,26.5,-9.5,4256.96,12144.14,0.350536
2018,36,26.5,-8.5,3361.71,12177.3,0.276063
2018,37,26.5,-7.5,4784.73,12206.0,0.391998
2018,38,26.5,-6.5,7138.32,12231.7,0.583592
2018,39,26.5,-5.5,6049.78,12253.78,0.493707
2018,40,27.5,-24.5,571.56,11226.89,0.05091
2018,41,27.5,-23.5,12.52,11312.11,0.001107
2018,42,27.5,-22.5,86.35,11394.71,0.007578
2018,43,27.5,-21.5,15.99,11473.08,0.001394
2018,44,27.5,-20.5,69.26,11547.4,0.005998
2018,45,27.5,-19.5,821.52,11620.45,0.070696
2018,46,27.5,-18.5,454.11,11688.82,0.03885
2018,47,27.5,-17.5,601.5,11753.68,0.051175
2018,48,27.5,-16.5,766.33,11815.02,0.06486
2018,49,27.5,-15.5,1691.97,11871.57,0.142523
2018,50,27.5,-14.5,2645.43,11926.88,0.221804
2018,51,27.5,-13.5,3962.78,11978.0,0.330838
2018,52,27.5,-12.5,2451.75,12024.93,0.203889
2018,53,27.5,-11.5,4111.94,12067.21,0.340753
2018,54,27.5,-10.5,5669.04,12108.43,0.46819
2018,55,27.5,-9.5,4603.71,12144.56,0.379076
2018,56,27.5,-8.5,3413.38,12177.73,0.280297
2018,57,27.5,-7.5,6211.26,12206.42,0.508851
2018,58,27.5,-6.5,6670.84,12230.84,0.545411
2018,59,27.5,-5.5,3148.56,12254.21,0.256937
2018,60,28.5,-24.5,346.17,11226.5,0.030835
2018,61,28.5,-23.5,193.14,11311.71,0.017075
2018,62,28.5,-22.5,0.0,11394.31,0.0
2018,63,28.5,-21.5,1.39,11472.68,0.000121
2018,64,28.5,-20.5,999.18,11547.6,0.086527
2018,65,28.5,-19.5,576.33,11620.05,0.049598
2018,66,28.5,-18.5,19.57,11688.41,0.001674
2018,67,28.5,-17.5,631.57,11753.27,0.053736
2018,68,28.5,-16.5,1479.28,11814.61,0.125208
2018,69,28.5,-15.5,1828.74,11871.78,0.154041
2018,70,28.5,-14.5,2729.29,11926.46,0.228843
2018,71,28.5,-13.5,3045.27,11977.59,0.254247
2018,72,28.5,-12.5,3379.29,12024.5,0.281034
2018,73,28.5,-11.5,5876.63,12068.05,0.486958
2018,74,28.5,-10.5,6487.53,12108.0,0.535805
2018,75,28.5,-9.5,2384.48,12144.13,0.196348
2018,76,28.5,-8.5,2604.14,12177.3,0.213852
2018,77,28.5,-7.5,3487.38,12206.0,0.28571
2018,78,28.5,-6.5,2193.89,12231.7,0.179361
2018,79,28.5,-5.5,2306.08,12253.79,0.188193
2018,80,29.5,-24.5,541.55,11226.69,0.048238
2018,81,29.5,-23.5,38.1,11311.91,0.003368
2018,82,29.5,-22.5,0.0,11394.51,0.0
2018,83,29.5,-21.5,14.16,11472.88,0.001234
2018,84,29.5,-20.5,851.3,11547.4,0.073722
2018,85,29.5,-19.5,1464.77,11620.25,0.126053
2018,86,29.5,-18.5,537.99,11688.61,0.046026
2018,87,29.5,-17.5,1102.5,11753.47,0.093802
2018,88,29.5,-16.5,3484.65,11814.81,0.294939
2018,89,29.5,-15.5,3510.97,11871.57,0.295746
2018,90,29.5,-14.5,4187.96,11926.67,0.351143
2018,91,29.5,-13.5,2557.38,11977.8,0.21351
2018,92,29.5,-12.5,4594.13,12024.71,0.382057
2018,93,29.5,-11.5,5205.73,12067.2,0.431395
2018,94,29.5,-10.5,7680.54,12108.21,0.634325
2018,95,29.5,-9.5,7110.44,12144.35,0.585494
2018,96,29.5,-8.5,3612.92,12177.52,0.296688
2018,97,29.5,-7.5,3316.75,12206.21,0.271726
2018,98,29.5,-6.5,1063.62,12230.84,0.086962
2018,99,29.5,-5.5,429.91,12254.0,0.035083
2018,100,30.5,-24.5,390.04,11226.69,0.034742
2018,101,30.5,-23.5,91.26,11311.91,0.008068
2018,102,30.5,-22.5,7.43,11394.51,0.000652
2018,103,30.5,-21.5,7.87,11472.88,0.000686
2018,104,30.5,-20.5,219.61,11547.6,0.019017
2018,105,30.5,-19.5,931.01,11620.25,0.08012
2018,106,30.5,-18.5,1287.88,11688.61,0.110182
2018,107,30.5,-17.5,2695.71,11753.47,0.229354
2018,108,30.5,-16.5,2841.43,11814.82,0.240498
2018,109,30.5,-15.5,3464.03,11871.78,0.291787
2018,110,30.5,-14.5,4533.43,11926.68,0.380108
2018,111,30.5,-13.5,4545.85,11977.8,0.379523
2018,112,30.5,-12.5,4410.26,12024.71,0.366767
2018,113,30.5,-11.5,4838.62,12068.26,0.400937
2018,114,30.5,-10.5,5179.62,12108.21,0.427778
2018,115,30.5,-9.5,3764.56,12144.35,0.309984
2018,116,30.5,-8.5,3289.53,12177.52,0.270132
2018,117,30.5,-7.5,1955.43,12206.21,0.1602
2018,118,30.5,-6.5,1676.57,12231.92,0.137065
2018,119,30.5,-5.5,1782.46,12254.0,0.145459
2018,120,31.5,-24.5,198.25,11226.69,0.017659
2018,121,31.5,-23.5,74.44,11311.91,0.006581
2018,122,31.5,-22.5,647.1,11394.51,0.056791
2018,123,31.5,-21.5,239.14,11472.88,0.020844
2018,124,31.5,-20.5,82.13,11547.6,0.007112
2018,125,31.5,-19.5,167.21,11620.25,0.01439
2018,126,31.5,-18.5,859.76,11688.61,0.073555
2018,127,31.5,-17.5,868.55,11753.47,0.073898
2018,128,31.5,-16.5,1117.76,11814.81,0.094607
2018,129,31.5,-15.5,1959.83,11871.78,0.165083
2018,130,31.5,-14.5,1383.28,11926.67,0.115982
2018,131,31.5,-13.5,4118.69,11977.79,0.34386
2018,132,31.5,-12.5,4551.08,12024.71,0.378477
2018,133,31.5,-11.5,5541.02,12067.42,0.459172
2018,134,31.5,-10.5,5688.66,12108.21,0.469819
2018,135,31.5,-9.5,3206.03,12144.35,0.263994
2018,136,31.5,-8.5,916.55,12177.52,0.075265
2018,137,31.5,-7.5,1594.05,12206.21,0.130594
2018,138,31.5,-6.5,3263.18,12231.05,0.266795
2018,139,31.5,-5.5,2954.6,12254.0,0.241113
2018,140,32.5,-24.5,318.98,11226.69,0.028413
2018,141,32.5,-23.5,36.1,11311.91,0.003192
2018,142,32.5,-22.5,1508.34,11394.51,0.132374
2018,143,32.5,-21.5,2237.68,11472.88,0.195041
2018,144,32.5,-20.5,748.24,11548.4,0.064792
2018,145,32.5,-19.5,151.49,11620.25,0.013037
2018,146,32.5,-18.5,323.18,11688.61,0.027649
2018,147,32.5,-17.5,106.1,11753.47,0.009028
2018,148,32.5,-16.5,599.94,11814.82,0.050778
2018,149,32.5,-15.5,1330.97,11872.62,0.112104
2018,150,32.5,-14.5,1779.46,11926.67,0.1492
2018,151,32.5,-13.5,1374.25,11977.79,0.114733
2018,152,32.5,-12.5,3513.27,12024.71,0.292171
2018,153,32.5,-11.5,4215.86,12068.26,0.349335
2018,154,32.5,-10.5,2777.93,12108.21,0.229425
2018,155,32.5,-9.5,2813.89,12144.35,0.231704
2018,156,32.5,-8.5,310.22,12177.52,0.025475
2018,157,32.5,-7.5,4720.59,12206.21,0.386737
2018,158,32.5,-6.5,4136.46,12231.92,0.338169
2018,159,32.5,-5.5,1834.18,12254.0,0.14968
2018,160,33.5,-24.5,272.17,11226.69,0.024243
2018,161,33.5,-23.5,1048.42,11311.91,0.092683
2018,162,33.5,-22.5,1676.74,11394.51,0.147154
2018,163,33.5,-21.5,1744.32,11472.88,0.152038
2018,164,33.5,-20.5,3097.0,11547.6,0.268194
2018,165,33.5,-19.5,3147.37,11620.25,0.270852
